City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
274,Carnarvon,AU,2020-04-18 16:51:28,-24.87,113.63,75.2,94,75,13.87
275,Guangyuan,CN,2020-04-18 16:55:33,32.44,105.82,53.94,62,1,4.14
276,Kuryk,KZ,2020-04-18 16:55:34,43.2,51.65,57.16,63,74,3.38
277,Meulaboh,ID,2020-04-18 16:55:34,4.14,96.13,79.48,82,89,3.87
278,Udachnyy,RU,2020-04-18 16:55:34,66.42,112.4,12.2,39,1,4.47
279,Bambui,BR,2020-04-18 16:55:35,-20.01,-45.98,78.51,53,79,4.25
280,Aden,YE,2020-04-18 16:55:35,12.78,45.04,83.43,76,56,17.74
281,Guarapari,BR,2020-04-18 16:55:35,-20.67,-40.5,79.0,65,75,16.11
282,Resistencia,AR,2020-04-18 16:55:35,-27.46,-58.98,84.0,39,0,9.17
283,Roswell,US,2020-04-18 16:54:20,34.02,-84.36,64.99,63,20,17.22
284,Bardiyah,LY,2020-04-18 16:55:36,31.76,25.09,60.91,73,0,8.48
285,Aklavik,CA,2020-04-18 16:52:05,68.22,-135.01,23.0,85,75,8.05
286,Manuk Mangkaw,PH,2020-04-18 16:55:36,4.8,119.85,83.12,76,49,4.68
287,Torbay,CA,2020-04-18 16:51:03,47.67,-52.73,39.2,48,75,16.11
288,Tura,IN,2020-04-18 16:51:41,25.52,90.22,68.4,74,89,9.28
289,Clyde River,CA,2020-04-18 16:51:59,70.47,-68.59,15.8,85,75,3.36
290,Urumqi,CN,2020-04-18 16:55:37,43.8,87.6,60.8,44,99,4.47
291,Mahebourg,MU,2020-04-18 16:51:24,-20.41,57.7,79.0,78,40,13.87
292,Lorengau,PG,2020-04-18 16:52:49,-2.02,147.27,82.51,72,64,1.45
293,Goderich,CA,2020-04-18 16:55:38,43.75,-81.72,48.0,65,43,15.97
294,Geraldton,AU,2020-04-18 16:52:09,-28.77,114.6,69.8,77,90,8.05
295,Vao,NC,2020-04-18 16:53:08,-22.67,167.48,75.09,69,26,11.03
296,Mastic Beach,US,2020-04-18 16:55:38,40.77,-72.85,41.0,95,100,4.0
297,Taltal,CL,2020-04-18 16:52:52,-25.4,-70.48,70.63,57,19,5.88
298,Igarka,RU,2020-04-18 16:55:39,67.47,86.58,36.19,85,100,20.47
299,Kungurtug,RU,2020-04-18 16:55:39,50.6,97.52,29.14,54,0,2.55
300,Armidale,AU,2020-04-18 16:55:39,-30.52,151.65,42.46,63,1,2.64
301,Smithers,CA,2020-04-18 16:52:23,54.78,-127.17,44.6,70,20,4.7
302,Manzhouli,CN,2020-04-18 16:52:13,49.6,117.43,40.51,54,100,11.79
